Geography,25 to 34 years,Median age (years),65 years and over,Hispanic or Latino (of any race),White alone,Black or African American alone,Asian alone,Average household size,Females 15 years and over - Never married,College or graduate school (enrolled),Percent bachelor's degree or higher,Civilian veterans,Foreign born,American,English,German,Median household income (dollars),Per capita income (dollars),Poverty All people,"Management, business, science, arts occupations","Natural resources, construction, maintenance occupations","Professional, scientific, and management, administrative services",Manufacturing,"1-unit, detached",20 or more units,Renter occupied,No vehicles available,Median home value (dollars),US Similarity,Alabama Similarity,Alaska Similarity,Arizona Similarity,Arkansas Similarity,California Similarity,Colorado Similarity,Connecticut Similarity,Delaware Similarity,District of Columbia Similarity,Florida Similarity,Georgia Similarity,Hawaii Similarity,Idaho Similarity,Illinois Similarity,Indiana Similarity,Iowa Similarity,Kansas Similarity,Kentucky Similarity,Louisiana Similarity,Maine Similarity,Maryland Similarity,Massachusetts Similarity,Michigan Similarity,Minnesota Similarity,Mississippi Similarity,Missouri Similarity,Montana Similarity,Nebraska Similarity,Nevada Similarity,New Hampshire Similarity,New Jersey Similarity,New Mexico Similarity,New York Similarity,North Carolina Similarity,North Dakota Similarity,Ohio Similarity,Oklahoma Similarity,Oregon Similarity,Pennsylvania Similarity,Rhode Island Similarity,South Carolina Similarity,South Dakota Similarity,Tennessee Similarity,Texas Similarity,Utah Similarity,Vermont Similarity,Virginia Similarity,Washington Similarity,West Virginia Similarity,Wisconsin Similarity,Wyoming Similarity
South Dakota,11.5,36.9,16.3,3.6,82.3,1.9,1.2,2.43,26.9,22.8,28.1,9,3.4,3.6,5.7,37,"$56,521","$29,611",13,35,11.1,6.3,10,67.3,6.6,32.3,5.1,"$167,600",57.3987,49.3044,48.4282,51.2162,40.2882,109.4274,54.0084,66.6083,64.4663,224.1969,71.7341,64.8292,121.9506,28.2146,60.9721,27.7016,19.3157,28.8769,30.405,59.3668,38.3338,93.3513,83.4604,37.4126,32.2317,66.0332,23.8949,23.1481,19.9277,71.5132,42.3712,89.7199,64.0457,115.0223,49.5311,24.3222,26.8714,37.1028,39.8509,38.4514,63.5929,49.6775,0,34.9715,68.1697,42.5989,41.6036,68.6896,53.5246,40.0738,18.3778,23.3237
Tennessee,12.5,38.6,15.9,5.4,73.9,16.6,1.8,2.53,27.8,24.6,27.3,8.3,5.2,12.9,8.1,9.2,"$51,340","$28,764",15,34.9,8.8,9.4,13.1,68.4,4.6,34.6,5.5,"$167,500",40.4102,21.4129,47.1397,43.5513,14.8167,99.8789,51.6599,51.8598,38.3178,202.9684,48.2002,38.1131,116.0821,36.7081,47.4036,20.8583,38.3792,27.9006,23.1535,35.3753,45.0165,73.5628,70.4919,23.0337,43.7032,41.7017,18.1806,40.8194,33.3712,58.2847,49.6627,72.0314,57.5622,94.1338,19.4284,52.4737,20.3749,24.0313,38.5624,35.5429,52.8844,22.066,34.9715,0,52.7668,43.3316,45.3951,45.0811,50.1761,44.2223,34.5293,41.5352
Texas,13.5,34.7,12.2,39.4,41.9,11.8,4.8,2.88,30,24.1,29.6,7,17.1,5.7,5.5,8.6,"$59,206","$29,525",14.7,36.4,10.8,11.4,8.5,65,8.8,38,5.3,"$172,200",33.4434,59.4597,47.8729,28.9315,59.6835,51.9321,57.2931,54.373,57.151,173.0416,38.0758,36.4109,85.6953,71.0219,43.4368,62.9569,74.6156,60.3866,69.3803,52.7821,81.9555,61.736,74.9851,58.5223,67.5564,64.9085,59.6702,77.7354,62.3004,30.1185,79.0959,53.4646,31.905,76.867,42.8724,74.9069,58.3011,50.4981,56.2356,60.3383,60.9576,52.1928,68.1697,52.7668,0,63.5092,79.3269,52.9143,55.3293,88.3691,63.7425,74.9684
Utah,13.7,31,10.8,14,78.3,1.2,2.4,3.13,27.3,26.1,34.6,5.7,8.7,4.6,22.5,10.6,"$68,358","$28,085",9.7,39.1,9.1,12.8,10.3,68.3,7,30.1,4,"$275,100",48.8146,60.0729,43.8197,46.1827,52.7567,88.1589,36.7799,47.5198,54.443,202.4884,66.361,60.8801,108.3021,33.3231,54.4608,40.6253,43.5848,33.9358,48.1735,71.6753,43.6647,74.6228,63.6119,44.4115,35.3512,78.2017,40.4646,40.4178,33.3568,66.0677,30.9427,68.7514,65.6182,96.6666,48.2816,53.0687,43.8703,47.3713,27.9916,45.4075,48.926,57.106,42.5989,43.3316,63.5092,0,40.2081,49.2771,37.2361,60.5423,42.8559,38.964
Vermont,11.1,42.6,18.8,1.9,92.8,1.2,1.8,2.33,28.6,32,38.3,7.4,4.5,8.4,16.2,9.5,"$57,513","$32,443",11.3,41.1,10.5,9.6,9.5,65.6,4.2,30.5,6.9,"$226,300",57.4295,58.088,57.1246,57.9638,53.9718,104.9238,53.3248,53.2847,54.1027,213.6933,69.4149,71.442,118.787,39.7982,66.1285,42.5852,39.0193,43.7665,39.8286,69.3304,17.8586,84.1077,69.6968,45.1454,41.6121,76.7368,39.2585,30.3757,45.0913,79.5004,18.2076,81.5363,72.5933,106.0987,50.7867,46.3066,42.4842,54.0864,40.5045,44.9158,54.3093,54.9211,41.6036,45.3951,79.3269,40.2081,0,56.386,54.561,38.4374,40.0242,37.0841
Virginia,13.1,38.2,15,9.3,61.7,18.8,6.4,2.64,29.9,30.2,38.7,10.6,12.5,9,8.9,10.4,"$71,535","$37,442",10.6,44.1,8.2,15.7,6.8,61.6,7.5,33.4,6.1,"$273,400",25.8709,48.134,36.8106,38.9498,54.4778,71.2562,34.0212,24.6827,24.6833,165.1673,41.8409,40.308,94.645,68.9642,30.5775,57.5912,69.2139,53.2725,64.1346,52.2564,71.1246,30.6217,45.6908,49.6114,48.3379,62.9028,52.9045,68.1617,56.8059,48.0964,48.8856,38.1503,65.0793,64.5953,28.8127,66.5074,52.4702,51.7124,42.5427,46.4182,44.6967,37.4271,68.6896,45.0811,52.9143,49.2771,56.386,0,33.073,83.7634,55.7118,67.7059
Washington,13.2,37.7,15.1,12.7,68.6,3.5,8.5,2.56,27.3,25.9,35.5,9.4,14.3,3.9,9.7,16.4,"$70,979","$36,975",11,41.4,9.5,13,9.8,63.2,11,37.2,6.6,"$339,000",31.3059,62.229,31.9368,36.7048,56.4128,62.4944,15.2082,30.6757,48.8583,178.6923,51.9559,55.923,82.0032,54.1192,34.7325,52.2262,56.0689,40.2275,58.2296,69.0714,63.3396,52.1267,37.1958,51.8864,36.5129,81.7378,49.1795,54.9567,42.2609,46.4114,43.2386,40.4033,65.5343,69.0547,44.9077,50.4424,51.6252,47.1474,18.8737,46.5132,37.2117,54.9021,53.5246,50.1761,55.3293,37.2361,54.561,33.073,0,72.5184,47.9068,53.5209
West Virginia,12.2,42.4,19.3,1.3,92,3.9,0.8,2.47,24.8,25.3,20.2,8.8,1.6,11.4,9.1,15.8,"$43,469","$24,478",19.1,33.2,11,7.4,7.9,70.3,2.7,27.5,8.4,"$119,800",72.8725,51.7894,66.402,69.1736,34.5856,128.9412,75.5622,81.5621,71.4801,240.9107,82.9425,79.5354,139.8844,37.2792,79.6859,35.6922,34.7095,44.6909,24.4688,63.727,27.0388,109.0451,98.6742,44.872,57.6255,57.6434,36.8389,30.9817,47.1175,87.667,49.225,106.0537,76.5641,130.4761,60.3907,57.876,41.5132,40.771,58.3447,56.4652,79.2067,56.7763,40.0738,44.2223,88.3691,60.5423,38.4374,83.7634,72.5184,0,49.6516,36.1175
Wisconsin,12.1,39.5,16.5,6.9,81.2,6.3,2.7,2.4,29.3,27.1,30.4,7.3,5,2.9,5.6,38.6,"$59,305","$31,998",11.3,36.8,8.5,8.6,17.9,66.4,7.4,33.4,6.8,"$178,900",44.1609,48.6822,46.6104,45.338,43.206,97.5296,47.1106,51.4905,53.8285,210.7191,62.8171,57.1962,114.1528,40.2484,47.2143,24.8594,21.7221,26.2207,32.5428,59.6446,43.0368,79.0335,68.3226,28.2196,21.2139,68.951,21.9327,33.6619,17.2071,65.3886,41.2734,74.6021,66.4475,101.0045,40.5009,26.9644,20.4584,41.8206,33.2723,25.5756,49.3151,46.0553,18.3778,34.5293,63.7425,42.8559,40.0242,55.7118,47.9068,49.6516,0,33.7519
Wyoming,12.2,37.5,15.6,10,84,0.9,0.8,2.5,23.3,25.1,27.6,10.2,3.5,5,12.9,23.1,"$60,434","$30,883",11.3,34.5,14.1,7.1,4,66.6,2.6,29.2,4.3,"$214,300",58.6746,55.9281,48.8245,54.0119,42.0319,112.2637,53.9247,68.2446,60.7226,226.2932,73.935,71.0421,122.3269,19.6583,64.9284,31.6253,26.128,31.6866,31.1487,66.2505,32.3807,92.9676,84.0967,41.6655,38.988,70.4169,31.4986,16.7558,32.3128,74.0025,40.0275,91.4162,67.0934,116.2386,53.2068,36.8865,36.2243,40.0465,40.3116,43.9435,64.6692,55.1012,23.3237,41.5352,74.9684,38.964,37.0841,67.7059,53.5209,36.1175,33.7519,0
