Geography,25 to 34 years,Median age (years),65 years and over,Hispanic or Latino (of any race),White alone,Black or African American alone,Asian alone,Average household size,Females 15 years and over - Never married,College or graduate school (enrolled),Percent bachelor's degree or higher,Civilian veterans,Foreign born,American,English,German,Median household income (dollars),Per capita income (dollars),Poverty All people,"Management, business, science, arts occupations","Natural resources, construction, maintenance occupations","Professional, scientific, and management, administrative services",Manufacturing,"1-unit, detached",20 or more units,Renter occupied,No vehicles available,Median home value (dollars),US Similarity,Alabama Similarity,Alaska Similarity,Arizona Similarity,Arkansas Similarity,California Similarity,Colorado Similarity,Connecticut Similarity,Delaware Similarity,District of Columbia Similarity,Florida Similarity,Georgia Similarity,Hawaii Similarity,Idaho Similarity,Illinois Similarity,Indiana Similarity,Iowa Similarity,Kansas Similarity,Kentucky Similarity,Louisiana Similarity,Maine Similarity,Maryland Similarity,Massachusetts Similarity,Michigan Similarity,Minnesota Similarity,Mississippi Similarity,Missouri Similarity,Montana Similarity,Nebraska Similarity,Nevada Similarity,New Hampshire Similarity,New Jersey Similarity,New Mexico Similarity,New York Similarity,North Carolina Similarity,North Dakota Similarity,Ohio Similarity,Oklahoma Similarity,Oregon Similarity,Pennsylvania Similarity,Rhode Island Similarity,South Carolina Similarity,South Dakota Similarity,Tennessee Similarity,Texas Similarity,Utah Similarity,Vermont Similarity,Virginia Similarity,Washington Similarity,West Virginia Similarity,Wisconsin Similarity,Wyoming Similarity
Florida,12.1,42,20.1,25.6,53.8,15.4,2.8,2.67,28.5,28.8,29.7,8.6,20.9,7.9,6.5,9.1,"$52,594","$29,838",14,35.2,9.4,13.1,5,54.4,13.7,34.8,6.3,"$214,000",30.15,54.0131,54.2195,28.6783,55.2169,62.5187,51.2997,44.4196,40.9376,173.2482,0,41.3849,81.8219,71.6833,36.2394,61.8277,73.939,61.3804,67.5137,54.1755,73.6603,47.7826,61.6717,55.4735,64.663,64.2619,56.7604,73.4232,64.371,33.9445,70.0425,37.3312,52.3784,56.7536,37.5034,64.1375,56.6547,52.8915,53.9622,50.2467,50.8242,44.4262,71.7341,48.2002,38.0758,66.361,69.4149,41.8409,51.9559,82.9425,62.8171,73.935
Georgia,13.3,36.8,13.4,9.6,52.6,31.1,3.9,2.72,31.8,25.2,30.9,7.9,10.2,10.8,6.8,6.5,"$56,183","$29,668",14.9,37.2,8.8,12.1,10.5,66.6,6.4,37.1,6.4,"$173,700",34.0971,33.286,47.9466,34.5774,47.3498,76.9858,58.6868,53.9467,35.7247,165.7753,41.3849,0,102.429,67.9082,41.4505,53.3232,69.0421,53.3235,58.8466,25.9484,73.9034,43.7097,73.8588,48.0714,62.4901,33.0948,49.9365,72.8617,56.5141,46.9716,73.4696,56.5583,50.0113,78.5207,23.2047,74.9006,48.9102,45.7644,53.2293,51.5098,58.4513,27.8791,64.8292,38.1131,36.4109,60.8801,71.442,40.308,55.923,79.5354,57.1962,71.0421
Hawaii,12.7,39.2,17.8,10.5,21.8,1.6,37.3,3.02,28.7,28.5,32.9,9.8,18.6,1.2,3.4,5.8,"$77,765","$33,882",9.5,34.1,9.6,10.1,3.1,52.5,19.7,41.5,7.9,"$617,400",87.7919,119.955,86.7784,87.8508,122.3788,56.0288,91.9874,90.9011,100.4663,159.2423,81.8219,102.429,0,124.6052,92.8241,122.6122,125.0349,114.7135,126.6756,117.4974,124.5656,87.0527,86.3258,118.2724,107.9085,129.2438,120.1255,122.1227,114.0069,76.2974,110.7814,77.3093,90.2403,92.6579,104.4337,107.392,118.9112,112.1734,89.7597,106.3192,89.1693,111.9081,121.9506,116.0821,85.6953,108.3021,118.787,94.645,82.0032,139.8844,114.1528,122.3269
Idaho,12.6,36.3,15.3,12.4,82,0.6,1.3,2.7,24.4,22.8,26.8,8.7,5.9,6.4,17.1,16.3,"$52,225","$26,386",12.8,34.6,12.7,9.4,9.9,74.9,3.9,30.3,3.9,"$207,100",57.4533,52.2146,50.8428,52.9344,37.0136,110.902,55.743,68.9029,62.1809,227.1915,71.6833,67.9082,124.6052,0,64.6307,25.573,29.4903,27.7917,31.4676,61.7322,32.9316,94.7659,85.275,37.6048,44.9863,68.2786,30.5717,23.2625,30.8423,71.5278,42.7458,91.5945,63.7351,116.3769,50.6235,47.5888,37.746,28.6226,40.7455,48.518,65.4475,52.8521,28.2146,36.7081,71.0219,33.3231,39.7982,68.9642,54.1192,37.2792,40.2484,19.6583
Illinois,12.9,38,15.2,17.2,61.2,14,5.4,2.6,32.7,26.6,34.4,5.8,14.3,3.7,5.3,17.5,"$62,992","$34,196",12.6,37.8,7.3,11.6,12,59,10.7,33.8,10.9,"$195,300",14.6174,52.6565,37.3361,33.8603,54.9803,64.5753,38.0763,24.6562,32.3458,168.7848,36.2394,41.4505,92.8241,64.6307,0,52.1137,63.0964,46.695,61.3571,48.2189,73.0271,41.3792,45.7683,41.6339,42.8196,62.8053,47.927,67.0642,49.1084,41.9909,62.1591,32.3478,56.0618,55.2702,33.7752,56.4099,43.7527,49.1349,39.3932,30.5407,35.2208,42.2296,60.9721,47.4036,43.4368,54.4608,66.1285,30.5775,34.7325,79.6859,47.2143,64.9284
Indiana,12.3,37.7,15.4,6.9,79.2,9.2,2.2,2.53,28,25.1,26.8,7.6,5.3,8.6,7.6,20.7,"$54,181","$28,323",13.5,34.4,8.7,8.7,18.8,73,4.4,31,6.6,"$141,100",47.0803,35.1188,49.2498,49.0414,25.4466,105.489,53.15,58.1899,51.0879,216.4785,61.8277,53.3232,122.6122,25.573,52.1137,0,22.4173,19.6987,21.2834,49.5372,40.6666,83.8529,76.922,17.8798,33.0133,51.9916,10.4473,31.4485,20.9853,63.5548,48.3928,81.5015,63.1841,105.7039,36.0043,46.6838,15.013,23.2212,38.9325,30.473,59.3145,36.0319,27.7016,20.8583,62.9569,40.6253,42.5852,57.5912,52.2262,35.6922,24.8594,31.6253
Iowa,11.9,38.3,16.7,5.9,85.9,3.3,2.6,2.42,26.3,27.3,28.9,7.4,5.3,4.7,7.2,32.5,"$58,570","$30,865",10.7,35.5,9.9,7.4,14.6,73.8,5.7,28.4,5.6,"$149,100",58.283,52.6801,54.1325,54.9199,41.2039,112.2717,56.3927,66.8126,61.5506,227.0012,73.939,69.0421,125.0349,29.4903,63.0964,22.4173,0,23.0586,31.2007,67.9545,32.0279,93.5356,83.8847,27.4055,30.496,70.3489,23.9986,24.0238,16.628,77.9905,39.1355,91.2042,70.7614,116.3666,50.4068,31.9865,27.3163,37.0985,42.3552,38.0357,64.3372,52.1692,19.3157,38.3792,74.6156,43.5848,39.0193,69.2139,56.0689,34.7095,21.7221,26.128
Kansas,12.2,36.7,15.4,11.9,75.9,5.5,2.9,2.51,25.4,26.6,33.7,8,6.9,6,9.3,24.6,"$56,422","$30,146",11.9,38.9,9.3,9.3,12.3,72.6,4.8,34.1,5.2,"$150,600",42.7416,45.5815,45.8711,43.0931,31.6853,95.0703,39.6313,51.7512,51.5492,210.3598,61.3804,53.3235,114.7135,27.7917,46.695,19.6987,23.0586,0,31.3621,57.5759,39.6769,78.8142,67.6633,22.8037,31.3946,64.6903,18.62,28.8252,12.2466,65.4161,44.1141,75.0628,61.6628,99.9052,34.2882,41.2251,22.4977,23.5199,27.4538,29.5543,48.7158,45.7306,28.8769,27.9006,60.3866,33.9358,43.7665,53.2725,40.2275,44.6909,26.2207,31.6866
Kentucky,12.5,38.9,15.9,3.5,84.6,8,1.4,2.51,25.5,24.8,24,7.7,3.8,15.1,9.9,13.2,"$48,375","$26,779",17.2,33.5,9.1,8.6,14.7,67.2,3.2,33.5,7.3,"$141,000",53.3637,31.9834,55.3532,54.2448,22.3032,111.0324,61.4334,63.8933,56.3313,222.0019,67.5137,58.8466,126.6756,31.4676,61.3571,21.2834,31.2007,31.3621,0,47.9218,36.53,90.2563,81.0654,34.3232,44.6167,50.4082,22.1301,30.4729,35.7087,67.6582,46.0362,87.4449,66.0087,111.4073,39.6819,46.6872,24.5244,26.673,44.2759,42.6364,63.0579,39.4475,30.405,23.1535,69.3803,48.1735,39.8286,64.1346,58.2296,24.4688,32.5428,31.1487
Louisiana,12.6,36.8,14.9,5.2,58.5,32.1,1.8,2.62,33.7,23.7,23.8,6.7,4.1,7.8,5,6.7,"$46,145","$25,885",19.7,33.4,11.4,9.1,7.7,65.2,4.6,34.8,8.6,"$162,500",43.9455,25.2784,48.135,48.4866,36.4214,94.3942,69.1752,61.6751,43.7331,179.7037,54.1755,25.9484,117.4974,61.7322,48.2189,49.5372,67.9545,57.5759,47.9218,0,71.3918,58.2381,82.1472,48.609,69.4785,20.3864,47.8159,67.8547,61.7665,58.6,78.358,70.6667,52.9667,89.8891,30.1637,73.469,46.2702,36.812,64.8977,55.5382,65.5597,24.4453,59.3668,35.3753,52.7821,71.6753,69.3304,52.2564,69.0714,63.727,59.6446,66.2505
Maine,11.3,44.6,20,1.6,93.4,1.2,1.1,2.4,25.6,28.5,32.1,9.7,3.4,7,18.6,8.2,"$56,277","$31,088",11.1,36.7,10.9,9.3,8.6,70.6,3.6,26.8,6.8,"$191,200",64.4137,57.1894,62.6832,63.182,48.1132,115.0824,66.1234,68.4033,62.2413,229.6319,73.6603,73.9034,124.5656,32.9316,73.0271,40.6666,32.0279,39.6769,36.53,71.3918,0,98.4263,85.3354,41.8468,49.4867,74.8182,36.2599,24.4651,41.5799,85.317,28.0062,95.0949,73.9547,119.1973,55.0281,48.9572,42.8856,46.8478,47.8659,49.9664,65.2279,58.1025,38.3338,45.0165,81.9555,43.6647,17.8586,71.1246,63.3396,27.0388,43.0368,32.3807
Maryland,12.8,38.7,14.9,10.1,50.7,29.4,6.4,2.68,33,29.7,39.7,7.9,15.3,4.9,6.8,12.5,"$80,776","$39,960",9.3,45.9,7.8,15.6,4.3,51.2,9,33.3,8.9,"$312,500",43.4126,68.2757,57.5831,54.6115,82.8395,67.7159,53.7549,36.9106,43.365,138.0256,47.7826,43.7097,87.0527,94.7659,41.3792,83.8529,93.5356,78.8142,90.2563,58.2381,98.4263,0,44.2473,71.9531,69.8196,70.6645,79.1462,93.9634,81.1276,53.6981,74.3801,30.6262,74.081,57.329,55.0344,84.6891,75.8519,77.8741,62.2764,60.8199,54.8384,57.6288,93.3513,73.5628,61.736,74.6228,84.1077,30.6217,52.1267,109.0451,79.0335,92.9676
Massachusetts,12.2,39.5,16.1,11.8,71.5,7,6.6,2.54,34.4,34.1,43.4,5.5,16.9,3.7,9.1,5.7,"$77,385","$41,821",10.5,46.1,6.9,13.8,8.9,52.1,10.9,37.7,12.4,"$385,400",49.5617,82.3248,58.5122,62.7006,78.6686,64.173,40.632,28.9953,58.5941,149.9165,61.6717,73.8588,86.3258,85.275,45.7683,76.922,83.8847,67.6633,81.0654,82.1472,85.3354,44.2473,0,67.8622,58.7687,98.4936,73.8153,84.1525,70.7567,64.9872,61.2492,33.7811,87.2301,59.3581,67.0635,70.2782,69.861,75.3632,46.8895,52.089,27.8275,75.1179,83.4604,70.4919,74.9851,63.6119,69.6968,45.6908,37.1958,98.6742,68.3226,84.0967
Michigan,11.6,39.8,16.7,5.1,75,13.6,3.1,2.48,30.5,28.1,29.1,7.1,7.1,5.3,8.6,18.8,"$54,909","$30,488",14.2,36.7,7.9,9.6,18.9,72.5,5.1,28.7,7.5,"$155,700",38.4405,35.9826,48.11,45.2088,31.0664,99.6892,51.1502,47.7501,39.2481,204.4987,55.4735,48.0714,118.2724,37.6048,41.6339,17.8798,27.4055,22.8037,34.3232,48.609,41.8468,71.9531,67.8622,0,33.9135,54.0514,16.9331,39.2583,27.5255,64.2638,48.193,70.4017,62.0559,93.0641,30.9413,52.824,15.8188,33.041,36.2527,22.7932,49.3747,33.0437,37.4126,23.0337,58.5223,44.4115,45.1454,49.6114,51.8864,44.872,28.2196,41.6655
Minnesota,12.6,37.9,15.4,5.3,79.9,6.4,4.9,2.52,29,25.7,36.1,7.1,8.7,3.1,5.2,32.1,"$68,388","$36,156",9.5,40.8,8,9.9,13.4,67.2,12.3,28.4,6.7,"$224,000",43.773,58.2161,47.1701,50.0319,53.9599,89.0597,37.5567,43.9966,51.3294,199.6252,64.663,62.4901,107.9085,44.9863,42.8196,33.0133,30.496,31.3946,44.6167,69.4785,49.4867,69.8196,58.7687,33.9135,0,76.7449,31.3666,39.1078,24.828,65.5945,36.9995,64.2682,73.6214,90.2094,48.3148,35.3495,31.4923,51.1745,32.7968,32.5603,48.6428,55.1892,32.2317,43.7032,67.5564,35.3512,41.6121,48.3379,36.5129,57.6255,21.2139,38.988
Mississippi,12.7,37.5,15.6,2.9,56.6,37.9,0.9,2.65,32.2,24.9,21.9,7.3,2.2,11.1,6.5,4.5,"$43,529","$23,121",19.8,32.5,10.6,7.5,13.2,68.6,2.4,31.5,6.3,"$120,200",58.1919,25.4888,64.0014,58.633,36.965,108.5006,82.5016,75.2015,51.0195,190.1901,64.2619,33.0948,129.2438,68.2786,62.8053,51.9916,70.3489,64.6903,50.4082,20.3864,74.8182,70.6645,98.4936,54.0514,76.7449,0,53.7583,70.4411,69.1169,70.3664,86.2444,83.7731,59.4635,105.3155,39.2901,86.2154,53.3526,44.1704,77.5241,66.5046,81.2261,30.3157,66.0332,41.7017,64.9085,78.2017,76.7368,62.9028,81.7378,57.6434,68.951,70.4169
Missouri,11.9,38.5,16.5,4.2,79.4,11.4,2,2.49,27.6,25.7,29.1,8.7,4.2,8.1,8.2,22.5,"$53,578","$29,438",13.4,36.9,8.7,9.5,11.5,70.5,4.7,33,6.7,"$156,700",42.6136,33.8695,48.2231,46.2819,25.4333,103.5823,50.6633,53.9632,47.7212,212.2518,56.7604,49.9365,120.1255,30.5717,47.927,10.4473,23.9986,18.62,22.1301,47.8159,36.2599,79.1462,73.8153,16.9331,31.3666,53.7583,0,27.3252,19.8306,64.3481,44.5661,76.7348,63.1028,100.8572,31.377,40.9571,9.0943,28.0279,34.8658,25.7663,55.6278,33.9906,23.8949,18.1806,59.6702,40.4646,39.2585,52.9045,49.1795,36.8389,21.9327,31.4986
Montana,11.9,40,18.1,3.7,86.3,0.4,0.7,2.41,25,24.1,32.3,10.6,2.2,5.4,11.2,24.6,"$53,386","$29,428",12.5,35.4,11.8,8.4,5.1,69.9,3.3,30.8,5.1,"$231,300",60.4668,55.1923,51.8003,55.6671,42.2161,113.3395,55.4805,67.4004,60.3984,227.229,73.4232,72.8617,122.1227,23.2625,67.0642,31.4485,24.0238,28.8252,30.4729,67.8547,24.4651,93.9634,84.1525,39.2583,39.1078,70.4411,27.3252,0,31.3358,77.4253,34.5833,91.532,70.5376,116.2344,53.0638,37.6823,33.3195,40.0307,39.363,42.6515,64.025,55.2854,23.1481,40.8194,77.7354,40.4178,30.3757,68.1617,54.9567,30.9817,33.6619,16.7558
Nebraska,12.3,36.5,15.4,10.9,79,4.5,2.4,2.48,27.2,26.5,31.7,8.1,7.5,3.3,7.4,33.3,"$59,970","$30,915",10.8,37.7,9.8,8.9,10.4,72.6,6.9,33.7,5.5,"$155,800",45.315,50.7481,45.6245,43.8319,38.9919,97.3837,42.0047,54.2446,55.8426,212.3532,64.371,56.5141,114.0069,30.8423,49.1084,20.9853,16.628,12.2466,35.7087,61.7665,41.5799,81.1276,70.7567,27.5255,24.828,69.1169,19.8306,31.3358,0,66.7425,43.0675,77.2162,63.5534,103.6986,39.9988,30.6185,23.7043,30.2465,30.7672,31.0827,51.4692,50.2012,19.9277,33.3712,62.3004,33.3568,45.0913,56.8059,42.2609,47.1175,17.2071,32.3128
Nevada,13.3,38,15.3,28.8,48.8,8.9,8.3,2.7,29.5,23.5,24.9,8.8,19.9,3.7,6.9,10.2,"$58,003","$30,166",13,28.9,8.9,10.8,4.6,60,9,43.4,7.2,"$258,200",32.4535,63.9176,42.455,29.0734,62.4614,48.8742,53.3752,46.5751,52.9851,174.6837,33.9445,46.9716,76.2974,71.5278,41.9909,63.5548,77.9905,65.4161,67.6582,58.6,85.317,53.6981,64.9872,64.2638,65.5945,70.3664,64.3481,77.4253,66.7425,0,75.158,42.7267,48.0429,61.7691,50.5963,74.769,62.6338,53.576,50.2577,58.9382,50.9517,55.5907,71.5132,58.2847,30.1185,66.0677,79.5004,48.0964,46.4114,87.667,65.3886,74.0025
New Hampshire,11.3,43.2,17.6,3.8,90.3,1.3,2.7,2.46,26.9,30.2,36.9,8.6,6.2,3.9,17,9.1,"$73,381","$38,237",7.7,41.7,8.7,11.2,11.7,64.2,7.1,30.2,5.1,"$263,600",56.5325,65.2556,53.183,55.4514,59.8394,97.0278,43.4868,43.1571,53.3849,206.0857,70.0425,73.4696,110.7814,42.7458,62.1591,48.3928,39.1355,44.1141,46.0362,78.358,28.0062,74.3801,61.2492,48.193,36.9995,86.2444,44.5661,34.5833,43.0675,75.158,0,71.6887,73.8209,98.8809,54.5143,44.369,47.7518,58.574,34.4883,43.9998,49.4983,58.8087,42.3712,49.6627,79.0959,30.9427,18.2076,48.8856,43.2386,49.225,41.2734,40.0275
New Jersey,12.9,39.8,15.7,20.4,54.8,12.8,9.8,2.74,31.6,26.8,39.7,4.6,22.8,3.3,4.6,9.8,"$80,088","$40,567",10,42.9,7,13.3,8.3,53.7,10.6,36.2,11.2,"$334,900",35.1012,77.9043,51.0317,45.5601,79.8081,51.3725,43.0915,30.6164,51.5936,153.737,37.3312,56.5583,77.3093,91.5945,32.3478,81.5015,91.2042,75.0628,87.4449,70.6667,95.0949,30.6262,33.7811,70.4017,64.2682,83.7731,76.7348,91.532,77.2162,42.7267,71.6887,0,71.2696,40.8176,58.243,78.9777,71.7805,74.2427,54.629,55.5685,47.547,67.1774,89.7199,72.0314,53.4646,68.7514,81.5363,38.1503,40.4033,106.0537,74.6021,91.4162
